text,themes
"Доброго дня,чи є такі,хто звертався до ЛОРа в Штуттгарті чи поруч з терміновим запитом,а не по запису через пару місяців? Буду рада отримати контакт лікаря. Можна в приватні. Бо ситуацію треба терміново вирішувати",['general']
"Всем привет. Подскажите кто знает перевозчика, нужно с Польши в Германию привезти посылку.",['general']
"Вітаю, шукаю візажиста та стиліста весільних зачісок не далеко від Дортмунда, дякую",['documents']
И за март и за апрель получили все.,['general']
Да покажете электронный,['general']
Доброго дня незламні. Підкажіть за березень була виплата? бо нам не нарахували ніфіга,['general']
Зачем? Пишите в группе,['general']
"‼️‼️‼️КРИТИЧНА ПЕТИЦІЯ‼️‼️‼️
      Строкатюк Володимир
                  «Агроном»
Прошу підписати петицію
« ПОСМЕРТНО» та поширити це
займе декілька хвилин, не 
будьте байдужі 🙏
🆘 Петиція повторна 🆘
Він за нас віддав найцінніше
 що мав - своє життя 😞💔
Вшануйте памʼять нашого героя 🙏
🆘🆘🆘🆘🆘🆘🆘🆘🆘🆘🆘

[https://petition.president.gov.ua/petition/240750](https://petition.president.gov.ua/petition/240750)",['general']
"Добрий вечір. 
Будь ласка, допоможіть 🙏🙏🙏


https://petition.president.gov.ua/petition/241442

Будь ласка, поширте петицію для мого 27-річного брата Богдана, який загинув на Авдіївському напрямку (н. п. Новокалинове Донецької області). 
Уродженець с. Дмитре Пустомитівського району Львівської області. 

Обмін - @Nataalia14 (Telegram)",['general']
Зачем?,['general']
"Доброго ранку. Чи можна повернуть товар якщо чек відсутній, магазин не друкує, але на електронній він є",['general']
В Ютуб есть пошагово видео,['general']
"Скачайте приложение,нажимайте на дойч тикет,вводите данные пройдите авторизацию и все",['general']
Подскажите пожалуйста как через дб купить тикет,['general']
"Приветствую!
Ищем специалистов, готовых к релокации в Анталию на позицию:

☑️ lТ специалист/Help desk 
Требования:
Опыт работы не менее 1 года в аналогичной позиции


☑️ Казначей
Требования:
Опыт работы в аналогичной должности с международными банками не менее года 

☑️ Бухгалтер по расчету заработной платы
Требования:
Опыт от 1 года на позиции экономиста/бухгалтера


💼 Работа в офисе Антальи 
🕰 5/2 с 09:00-18:00
💰Оплата в долларах 

🙌Присылайте ваши резюме @osuhareva","['work', 'finances']"
"Если вы живёте на квартире, то написать за 3 месяца письмо арендодателю, что разрываете договор аренды. Закрыть все договора, которые заключали: свет, интернет, мобильная связь и.т.д. Закрыть страховку, лично счёт в банке. За неделю выписаться из жилья. Предупредить заранее соцслужбы, чтобы не начисляли пособие. Если нужен документ о закрытии ВНЖ, обратиться в миграционку","['documents', 'finances']"
"Рассчитывайте на себя, волонтёров сейчас уже нет. Выдохлись за три года войны",['general']
"Ищите на специальных сайтах, в местных газетах, в офисах застройщиков. Удачи. А в группах мало вероятности на успех",['general']
Тюрингия не принимает уже беженцев,['general']
"Автобусні квитки до 🇩🇪 Німеччини
🇵🇱 Польщі, 🇮🇹 Італії, 🇪🇸 Іспанії та інших країн ЄС!
🚌 Регулярні рейси автобусами для міжнародних сполучень
✅ Зручне та безкоштовне бронювання місця
✅ Понад 10 тисяч унікальних напрямків руху
✅ Зручний час виїзду та прибуття.
📲 Контактний номер вашого персонального менеджера:
 +380733000200
👌🏼 Зручно, швидко та надійно!
#contra_bus - обери свій маршрут",['general']
"Доброго вечора підкажіть, якщо роботадавець звільнить працівника через те що той часто хворіє, то працівник може податись на допомогу по безробіттю 60% від заробітної плати, це якось відображається на колишньому роботодавцеві він має частину цих грошей виплачувати? Чи просто звільнив тай все?",['work']
"Лучше приложение mo.pla, там можно оплатить любой банковской картой, а не только немецкой, и можно отменить подписку вплоть за 24 часа до конца месяца. DB Navigator в этом проигрывает, там подписку можно отменить до 10 числа текущего месяца.",['finances']
"Це стосується не параграфу, а страхування. Якщо маєте медичну страховку - йдете до сімейного і він дає направлення  до гематонколога у вашому місті",['finances']
"✅ **УКРАЇНСЬКА ДІАСПОРА У НІМЕЧЧИНІ** 🇺🇦🇩🇪

🔹 **Усе необхідне для комфортного життя в Німеччині!**

🔗 [**Долучайтеся до нашої групи!**](https://t.me/deutschland_diaspora)

**У нас ви знайдете:**
📝 Професійну юридичну підтримку з питань імміграції, ВНЖ, бізнесу та самозайнятості.
🔍 Вакансії для спеціалістів усіх рівнів.
🧑‍⚕️ Контакти медичних фахівців і ветеринарів, які розуміють вашу мову.
🚘 Корисні поради для автомобілістів із авто на українських номерах.
✉️ Надійні варіанти грошових переказів.
📚 Рекомендації та матеріали для вивчення німецької мови.

✅ **Робота та навчання в Німеччині | Важливі новини**

❗️ **Дізнавайтеся першими про новини, можливості роботи, навчання та корисні поради для життя в Німеччині!**",['work']
"Добрый вечер ребята ищу квартиру город Дуйсбург 
Если есть какие-то рекомендации буду очень благодарна за помощь  

Нужна двухкомнатная квартира
Или трёхкомнатная для мамы и двоих детей  дети школьного возраста","['housing', 'adaptation']"
"Скачиваете приложение DB навигатор и покупаете в приложении. Необходимо будет пройти верификацию, приготовьте загранпаспорт(первую страничку). 
И банковскую карту","['documents', 'finances']"
"Подскажите пожалуйста сайт, на котором дойчлэнд тикет можно купить на месяц?",['general']
"💫Щиро вітаємо вас, українці, які проживають у Німеччині, але поглядаєте у бік сонячної Варни — перлини Болгарського узбережжя!

Запрошуємо вас долучитися до нашої неймовірної спільноти 🇺🇦[Мами Варни!](https://t.me/UAmominVarna)

Цей чат стане для вас містком до яскравого та насиченого материнства у новій країні:
👩‍👧‍👦 Знайдіть друзів серед мам і створіть дитячі товариства.
🗣 Відкривайте для себе цікаві місця та події в Варні.
📢 Обмінюйтеся важливою інформацією та корисними сервісами.
🎨 Відвідуйте гуртки і заняття, які збагатять життя ваших дітей та вас самих.
🤫 А також, у нас завжди відкрито для жіночого спілкування та теплих розмов.

Тут ви знайдете шматочок рідної домівки!

Дружня підтримка, теплота спілкування та невичерпна взаємодопомога чекають на вас💖

https://t.me/UAmominVarna",['housing']
https://de.wikipedia.org/wiki/Chemnitz-Einsiedel?wprov=sfla1,['general']
Давно вже не має волонтерів,['general']
Як називається це місце?,['general']
"Добрий вечір,підскажіть будь ласка ,які дані треба ,для того щоб зробити грошовий переказ з Німеччини в Україну?",['general']
"Добрый вечер, подскажите как в аендизеле?нас возможно туда заселят скоро, хотелось бы узнать какие там условия,да и в общем подробности",['general']
"Доброго вечора, є тут може люди волонтери з Мюнхена , або може хтось знає таких !
Дякую",['general']
"Автобусні квитки до 🇩🇪 Німеччини, 
🇵🇱 Польщі, 🇮🇹 Італії, 🇪🇸 Іспанії та інших країн ЄС!
🚌 Регулярні рейси автобусами для міжнародних сполучень
✅ Зручне та безкоштовне бронювання місця
✅ Понад 10 тисяч унікальних напрямків руху
✅ Зручний час виїзду та прибуття.
📲 Контактний номер вашого персонального менеджера:
 +380733000200
👌🏼 Зручно, швидко та надійно!
#contra_bus - обери свій маршрут",['general']
Так з усіх регіонів,['general']
"добрий день! підкажіть, чи з усіх регіонів украіни приймають біженців? цікавить центральна украіна",['general']
Вам треба звернутися до терапевта (Allgemeinmediziner) і він вже направить вас до спеціалістів,['general']
Здравствуйте а подскажите принимают ли в тюренгие и в каком городе ?,['adaptation']
Привіт скажіть як через job-Center. digital відправити PDF документ?,"['work', 'documents']"
Бачив хтось стрічку-ліпучку для мух в продажі?,['general']
"**🌊🇺🇦 Все нюансы жизни моряка в Польше

Чат **@Poland_Ukraine_Vzaimopomosc - ваш проводник в мире документов, проживания, работы, отдыха и многих других аспектов жизни за границей.

Предоставляем всю необходимую информацию и поддержку, чтобы ваше пребывание в Польше было комфортным и безопасным. Присоединяйтесь к нашему чату, где всегда рады видеть новых участников!
**Witamy w Polsce!** **Zapraszamy Cie!** 🚢🇵🇱🇺🇦",['documents']
"🔤🔤🔤🔤🔤🔤🔤

**__🖐 __**[Добро пожаловать в 

БОЛГАРИИЯ ЧАТ | Помощь](https://t.me/Bolgaria_uslugi)**__ __****__🙂__****__

__**https://t.me/Bolgaria_uslugi

**__В нашем чате Вы можете прочитать важные и интересные новости Европы__****__🇪🇺__****__ Болгарии🇧🇬 Украины🇺🇦 и со всего мира!

Обсуждаем жизнь и делимся полезной и интересной информацией __****__🧑‍💻__****__ 

Есть вопросы по Болгарии? - пишите - постараемся помочь!__****__🙂__****__

🔹 Чат без спама

➡️ __**[Присоединяйтесь,](https://t.me/Bolgaria_uslugi)**__ 
__**@Bolgaria_uslugi**__  ⬅️__**",['general']
"Доброго дня.Підкажіть будь- ласка,де можна лікувати рак крові  по 24 параграфу.Можливо  лікаря порадите , чи лікарню. Буду вдячна.",['general']
"Доброго вечора, хто відвідував онлайн інтеграційні курси. Вони проходять постійно з ввімкненою камерою?",['general']
"Группа : ⬇️присоединяйтесь!
https://t.me/ucmdi
Украинцы 🇺🇦в Молдове 🇲🇩
и Румынии 🇹🇩 
Нас более -
3️⃣9️⃣.0️⃣0️⃣0️⃣ 
В нашем паблике Вы найдете всё, что вам нужно:
- 🎉Розыгрыши призов !
-🫂Информационная поддержка!
- 🏠 Объявления о продаже и аренде недвижимости
- 🚗 Реклама  Трансфер и перевозки , перегон авто! 
- 💅 Реклама и объявление 
Бьюти услуги 
- 💼 Вакансии и предложения о работе
в Молдове 🇲🇩 и Румынии 🇹🇩 
- 🛒 Куплю/Продам 
- 📢 Актуальные новости без политики и события
- 👨‍👩‍👧‍👦 Объявления о поиске и предложении услуг (няни, репетиторы и др.)
- 📅 Анонсы мероприятий и событий
- 💬 Полезные советы и рекомендации

""Украинцы 🇺🇦в Молдове 🇲🇩
и Румынии 🇹🇩 
Присоединяйтесь к нам и будьте в курсе всех событий и предложений! Не упустите свою возможность найти всё, что вам нужно, в одном месте.
Реклама в группе платная ! ⚠️
@alexkom77 
Владелец группы Александр 

📲 Переходите по ссылке и становитесь частью нашей большой семьи!

https://t.me/ucmdi

Чтобы писать в группе Украинцы 🇺🇦 в Молдове 🇲🇩 и Румынии 🇹🇩 нужно подписаться на наш канал #информационный 
⬇️
https://t.me/infoMdUcraina",['general']
Й вам усього найліпшого,['general']
"Пробуйте. Дивіться по приймаючих землях, куди більше хочеться. Приїдете в приймаючий табір, далі вже буде розподілення в інший табір, соцжитло, скрізь є соцпрацівники, які допоможуть з оформленням. Але й самі інформацію вивчайте. Бажаю удачі!",['general']
"О дякую, саме так були в Україні",['general']
"Але за умови, що на початок війни ви були в Україні (або, якщо за її межами, то з туристичною метою, у відрядженні, в гостях і т.д., не на роботі, не мали візу).",['general']
"Дуже вдячний вам за відповідь
Вже посивіли поки шукали бодай щось",['general']
"Так, шанси досить великі. Але остаточне рішення за міграційною і конкретним її працівником.",['general']
"💄✨ **Beauty NRW – твой главный бьюти-чат в регионе!** ✨💅

Ищешь крутые бьюти-услуги? Или хочешь найти клиентов, работу или сотрудников? Тогда тебе к нам! 🚀

💜 Более 5000 участников из земли NRW уже с нами!

🔍 Ищи мастеров и бронируй услуги!
💼 Находи работу или размещай вакансии!
📢 Продвигай свои услуги и расширяй клиентскую базу!

✅**И не пропусти — сейчас действует много скидок и выгодных предложений!**

Присоединяйся к нашему дружному beauty-сообществу прямо сейчас! 🥰👇

💬 Вступай в чат: [https://t.me/BeautyNRW](https://t.me/BeautyNRW)

📩 Контакт для сотрудничества: @nrwbeauty2",['general']
"Добрый день 
Подскажите пожалуйста кто занимался закрытием 24 параграфа,с чего нужно начать?и сколько по времени это происходит?",['general']
"Буду благодарна ☺️
Я вам написала",['general']
"Добрый день
Подскажите пожалуйста, кто занимается возвратом налога, поделитесь контактом?",['finances']
"Дорогие Украинцы, если кто то живет в городе Зайлауф,  откликнитесь пожалуйста 🙂",['adaptation']
"Допоможіть з питанням, хто має досвід
Чи можна отримати захист у Німеччині якщо відмовився від захист у іншій країні?
З братом мали захист у Румунії впродовж 6 днів (ми про нього не просили), відмовились та отримали довідки про це",['general']
"Приветствую!
Ищем специалистов, готовых к релокации в Тузлу (Стамбул) на позицию:

☑️ Инженер по автоматике и электрике судовых энергетических установок (электромеханик) 

Требования:
Опыт работы электромехаником на судах любого типа. 

Основные обязанности/функционал:
1. Выполнение работ по автоматике и автоматизации судна
2. Выполнение работ по электромеханической части на судне
3. Чтение, понимание проектов по электрической части судовых механизмов и установок
4. Подключение и сопровождение подключения электрической части судовых механизмов и установок
5. Разработка проектов и схем подключения, изменения существующих проектов и схем систем автоматизации и автоматики
6. Определение неисправности, диагностика узлов автоматики и электрических потребителей, устранение при возможности
7. Умение пользоваться программным обеспечением судовых установок с электронным управлением
8. Проведение инспекции судов на предмет работоспособности систем и соблюдения правил и норм эксплуатации электрической части судна
9. Составление заявок на СЗЧ согласно каталогов и интернет ресурсов, контроль выполнения, подбор аналогов
10. Стремление к развитию и модернизации судов по судовым электрическим системам
11. Взаимодействие с проектными организациями
12. Ведение отчётности о проделанных работах согласно норм классификационных сообществ


💁🏻‍♀️ Работа в судоремонтном заводе Тузла (Стамбул)
💵  ЗП: обсудим на интервью
💬 Знание языков – русский и английский
📱 Для быстрой связи: 
ТГ @IK_FPD
WhatsApp +44 7473692964

❗️Пожалуйста, присылайте ваши CV
кандидатов без резюме не рассматриваем❗️","['work', 'adaptation', 'finances']"
"🥺🥺🥺БЛАГАЮ ВАС НЕ ІГНОРУВАТИ 🙏🙏🙏
‼️‼️‼️Слава Україні 🇺🇦🇺🇦🇺🇦 Героям Слава💙💛🙏🙏🙏‼️‼️‼️
Велика прохання підписати петицію за Тиліпського Віталія Романовича котрий став на захист своєї Рідної землі-своєї Батьківщини України, в лавах 155-тої окремої механізованої бригади імені Анни Київської -  з'єднання Сухопутних військ Збройних сил України у складі в/ч А5001.
У пекельному бою за Україну , виявивши стійкість та мужність загинув 12 грудня 2024 року , у зоні бойових дій у напрямку Донецької області, Покровського району, населений пункт Шевченко.
Залишилась Любима Донечка, котра заслуговує знати ,що її Батько загинув героєм . Велика прохання підписати петицію в посиланні : https://petition.president.gov.ua/petition/244682‼️‼️‼️🇺🇦🇺🇦🇺🇦",['general']
Koleo,['general']
Маю таке ж питання,['general']
"Доброго дня! Підкажіть будь ласка, чи змінював хтось пластик після продовження параграфу 24? 
Якщо так, то які причини наводили, для зміни?",['general']
"Я сегодня утром скинула в этот чат список принимающих лагерей. Но информацию удалили. 
Видимо секретная информация",['general']
"Сайт db
Україна-Пшемишль, та
Пшемишль-берлін прямий потяг.",['adaptation']
"А ще краще, якщо хтось знає,як краще доїхати з України до Німеччини потягом,бо у нас немовля?",['general']
Підкажіть будь ласка сайти де можна купити квитки з Польщі до Німеччини?,['general']
"Добрий день, чи хтось знає, в мене прострочений aufenthaltstitel до 04.03.2025 року, в Ландрацамті мені сказали що вони не подовжують цей документ, він автоматично це робить, але мені треба зʼїздити в Польшу, чи буде з цим проблема на кордоні?",['documents']
"Доброго дня, скажіть будь ласка, хто недавно літав зі Стамбулу в Німеччину, для кордону потрібен лише закордонний український паспорт? Буду летіти з дітьми.",['documents']
Дякую,['general']
"Фікціон видає міграційна служба, а не роботодавець. Фікціон підтверджує що ваші документи знаходяться на розгляді. Можливо за час вашої відсутності вас викликали на термін.. І по фікціону ви не мали права виїжджати. Рахуйте це як перебування по безвізу.",['documents']
"@Mod_ukr прошу не видаляти!!!! Бо це кидалово на гроші! 
.....
Якщо комусь буде відписувати гандон @Архипенко, який намахує людей і краде з карти гроші, то знайте воно не займається перевозками!",['finances']
"Якщо комусь буде відписувати г...н @Архипенко, який намахує людей і краде з карти гроші, то знайте воно не займається перевозками!",['finances']
"Наявність українського паспорту обов'язкова, вы повинні підтвердити свою особу. Дивіться на сайті консульства вимоги по документам для виготовлення паспорту",['documents']
Дякую!,['general']
Uahelp Wiki на цьому сайті є і адреси таборів і багато інформації що і як потрібно робити по приїзду в Німеччину,['general']
"🥺🥺🥺БЛАГАЮ ВАС НЕ ІГНОРУВАТИ 🙏🙏🙏
‼️‼️‼️Слава Україні 🇺🇦🇺🇦🇺🇦 Героям Слава💙💛🙏🙏🙏‼️‼️‼️
Велика прохання підписати петицію за Тиліпського Віталія Романовича котрий став на захист своєї Рідної землі-своєї Батьківщини України, в лавах 155-тої окремої механізованої бригади імені Анни Київської -  з'єднання Сухопутних військ Збройних сил України у складі в/ч А5001.
У пекельному бою за Україну , виявивши стійкість та мужність загинув 12 грудня 2024 року , у зоні бойових дій у напрямку Донецької області, Покровського району, населений пункт Шевченко.
Залишилась Любима Донечка, котра заслуговує знати ,що її Батько загинув героєм . Велика прохання підписати петицію в посиланні : https://petition.president.gov.ua/petition/244682‼️‼️‼️🇺🇦🇺🇦🇺🇦",['general']
👍,['general']
"Автобусні квитки до 🇩🇪 Німеччини, 
🇵🇱 Польщі, 🇮🇹 Італії, 🇪🇸 Іспанії та інших країн ЄС!
🚌 Регулярні рейси автобусами для міжнародних сполучень
✅ Зручне та безкоштовне бронювання місця
✅ Понад 10 тисяч унікальних напрямків руху
✅ Зручний час виїзду та прибуття.
📲 Контактний номер вашого персонального менеджера:
 +380733000200
👌🏼 Зручно, швидко та надійно!
#contra_bus - обери свій маршрут",['general']
Доброго дня есть в группе кто-нибудь с пересаженной почкой напишите пожалуйста в ЛС как все проходит в Германии с имуносупресией  и анализами на такролимус благодарю,['general']
"Привіт,Mariana!",['general']
Анульована в межах Німеччини? Чи розповсюджується на всі країни ЄС?,['general']
"Привіт😊
Поясніть, будь ласка, не можу знайти інформацію.

Fiktionsbescheinigung отримала на минулій роботі (пропрацювала 1.5 місяця), повернулась в Україну. Зараз потрібно їхати в Німеччину знову, але не по роботі. Ось ці півтора місяця рахуються як витрачені дні безвізу чи ні?",['general']
"Ребята нужна помощь , 🙏 Нужна работа , мастер маникюра педикюра лешмкйкер.",['work']
"Вітаю!
Шукаємо фахівців, які готові до роботи в офісі Анталії на позиції:
 
 ☑️Бізнес-асистент  (для менеджера відділу оптимізації процесів).

🟢Вимоги:
Вільне володіння  англійською мовою (не нижче В2 обов'язково!);
Упевнений рівень користувача Ексель (зведені таблиці, аналіз тощо);
Аналітичний склад розуму, вміння працювати з інформацією, уважність до деталей;
Уміння користуватися іноземними джерелами, здійснювати research та складати доклад за його підсумками;
Готовність до відряджень у т.ч. міжнародним (відсутність будь-яких іммграційних проблем та штрахів);

🟢 Умови:
Комфортне робоче місце в Туреччині, Анталія;
Релокаційна та візова підтримка;
Широкий пакет компенсацій та пільг;
Корпоративне навчання;
Можливість стати частиною багатонаціональної команди професіоналів та брати участь у крутих корпоративних подіях.

☑️ Спеціаліст з купівлі та продажу морського флоту 

🟢Вимоги:
- можна без досвіду;
- Відмінний рівень володіння англійською мовою (не нижче за рівень С1)
- Вища освіта у морській/юридичній сфері;

🟢Основні обов'язки/функціонал:
- Взаємодія (письмова та усна) з постачальниками та клієнтами в процесі купівлі та продажу суден;
- ведення переговорів з партнерами та клієнтами (у тому числі англійською мовою);
- ведення угод з купівлі та продажу суден;
- залучення суміжних підрозділів до підготовки угод;
- підготовка всієї необхідної документації з операцій;

💁🏻‍♀️ Робота в офісі Анталія / Тбілісі / Баку  
💵 ЗП: обговоримо на інтерв'ю
📱 Для швидкого зв'язку: 
ТГ @IK_FPD
WhatsApp +44 7473692964","['work', 'adaptation', 'documents']"
"Усім привіт! Чи робив хтось закордонний паспорт без наявності оригіналу українського паспорта? Знаю, що в Ірландії в посольстві можна так зробити, але там важко зловити слоти, чи знає хтось ще інші установи де так можна?",['documents']
"Hi. Прямо заборонено.
Навіть за межі крайса - це порушення закону.",['general']
"🥺🥺🥺БЛАГАЮ ВАС НЕ ІГНОРУВАТИ 🙏🙏🙏
‼️‼️‼️Слава Україні 🇺🇦🇺🇦🇺🇦 Героям Слава💙💛🙏🙏🙏‼️‼️‼️
Велика прохання підписати петицію за Тиліпського Віталія Романовича котрий став на захист своєї Рідної землі-своєї Батьківщини України, в лавах 155-тої окремої механізованої бригади імені Анни Київської -  з'єднання Сухопутних військ Збройних сил України у складі в/ч А5001.
У пекельному бою за Україну , виявивши стійкість та мужність загинув 12 грудня 2024 року , у зоні бойових дій у напрямку Донецької області, Покровського району, населений пункт Шевченко.
Залишилась Любима Донечка, котра заслуговує знати ,що її Батько загинув героєм . Велика прохання підписати петицію в посиланні : https://petition.president.gov.ua/petition/244682‼️‼️‼️🇺🇦🇺🇦🇺🇦",['general']
"Друзі, шановна спільнота! Допоможіть, будь-ласка, розібратися- де можна побачити інформацію щодо земель, які приймають українців і можливо із вашого досвіду - де найлегше із житлом, але щоб були умови для навчання 17-річної дитини? Де шукати всю інформацію для переїзду? Буду вельми вдячна за допомогу 🫶🙏🌺",['general']
"Если есть дни безвиза, то теоретически да. Но лучше этого не делать, миграционка может сделать термин для предоставления новых доков",['documents']
"Вітаю!
Нагадайте будь ласка, чи можна короткостроково виїзджати за кордони Німеччини людині, яка тільки подалась на п. 24?",['general']
Написал в ЛС,['general']
Вибачайте будь ласка.Скиньте  будь ласка сайти де можна дізнатися які землі зараз приймають українців. Дякую.,['general']
"Добрый день 
Посоветуйте, пожалуйста, нормального стоматолога, гинеколога и семейного врача🙏🙏🙏
Етвиль и округа",['general']
Яка дата та напрямок?,['general']
З України куди саме?,['general']
"Это можно сделать и rückwirkend. Нужно заполнить Famillienfragrbogen, ребёнок будет mitversichert, то есть застрахован через вас. Отдельно ничего не стОит €",['general']
Мюнхен - точно,['general']
Кто знает какие города принемают беженцев,['adaptation']
"Доброго дня, підкажіть будь ласка магазини з б/в технікою у Мюнхені",['general']
"Извините пожалуйста,не могу разобраться как это убрать😢",['general']
Хто проживає в місті büchen земля Schleswig Holstein. Скоро туди переїзджаю цікаво буде по спілкуватись з Українцями,['general']
"Не могу повторить,у вас все также только для избранных",['general']
"Приветствую!
Ищем специалистов, готовых к релокации в Анталию / Баку / Тбилиси на позиции:

⏬**  Operations manager /Оператор судна **

🟢**Требования: **
Обязателен опыт в морской индустрии (агентирование, постфиксинг, экспедирование, оperations manager, Time Charter, вахтенный офицер) 
Английский язык - минимальный уровень В1. 
Профильное морское образование. 
Уверенное пользование MS Office
Готовность к релокации (есть релаксационный пакет) 
**
****🟢****Основные обязанности/функционал:**
- Ежедневное операционное управление судном;
- Просчёт оптимального плана бункеровок, покупка топлива, координация поставки топлива на суда;
- Отслеживание маршрута судна и внесение корректировок, мониторинг погоды;
- Контроль текущего статуса времени прибытия/погрузки/выгрузки.
- Взаимодействие с судовладельцами, фрахтователями, брокерами, P&I клубами, портовыми властями, терминалами, агентами, сюрвейерами, СТС координаторами.;
- Подготовка документации для регистрации у различных контрагентов, прохождение KYC;

💁🏻‍♀️ Работа в офисе  Анталия / Тбилиси / Баку  
💵  ЗП: обсудим на интервью
💬 Знание языков – русский и английский
📱 Для быстрой связи: 
ТГ @IK_FPD
WhatsApp +44 7473692964

❗️Пожалуйста, присылайте ваши CV
кандидатов без резюме не рассматриваем❗️","['work', 'adaptation', 'documents', 'finances']"
