text,needs
Подскажите недорого адвоката по миграционным делам,['need_lawyer']
Де можна вигідно поміняти готівкові долари на євро ? Дякую!,[]
Добрий!,[]
"Увага! Продовжується посадка на борт Лісабон - Евора - Лісабон! 
Пишіть в приват - розповім!",[]
Добрый день. Если вам ответили поделитесь пожалуйста адресами лагерей,[]
"Доброго вечора. Звісно, відповіли дуже кваліфіковано та пошагово. ! 👍🏻",[]
Доброго дня. Вам хтось відповів?,[]
"Очень хочу пойти на экскурсию но нет компании, надо ещё 1н человек чтобы гид Мария провела екскурсию цена с человека 60€ на 16.03 в это воскресенье. Я очень надеюсь знайдуться желающие пишите мне в сообщения. Экскурсия будет по таким местам 👇 

Зустріч у Лісабоні. На площі Росіо, потім
Статуя Христа (тільки нижній оглядовий майданчик), 
Прихована печера пустельниці Маргарити, 
Фортеця São Filipe, 
Дикий пляж на території національного парку Аррабіда, 
Замок Палмела.",['no_housing']
"Ребята привет, нужен один человек завтра экскурсию, поехали завтра вместе с нами 💫",[]
"Зустріч у Лісабоні. На площі Росіо, потім
Статуя Христа (тільки нижній оглядовий майданчик), 
Прихована печера пустельниці Маргарити, 
Фортеця São Filipe, 
Дикий пляж на території національного парку Аррабіда, 
Замок Палмела.",[]
"Ребята привет, я приехала вчера в Лиссабон. Очень хочу пойти на экскурсию но нет компании, надо 2 человека чтобы гид Мария провела екскурсию цена с человека 60€ на 16.03 в это воскресенье. Я очень надеюсь знайдуться желающие пишите мне в сообщения. Экскурсия будет по таким местам 👇",['no_housing']
"💬**Шукаєш нові знайомства або хочеш зустріти свою другу половинку? **Тоді наш [**чат знайомств**](https://t.me/+mbqvxxjEUiNlYjJi) — це саме те, що тобі потрібно!

✌️**Не важливо, чи хочеш ти знайти справжнього друга, кохану людину чи просто спілкуватися цікаво** — [**у нашому чаті знайдеться місце для всіх!**](https://t.me/+mbqvxxjEUiNlYjJi) Широкий вибір людей, легкість у спілкуванні та багато нових можливостей!

**Приєднуйся до нас **і знайди однодумців, з якими легко і приємно проводити час💜
https://t.me/+mbqvxxjEUiNlYjJi",[]
"**РАСПРОДАЖА 50% СКИДКА!**

**Группы** **стабильно приносящие по 800€ месяц🤑 **— Рай для инвесторов

Половину групп уже раскупили за 2 дня , успей купить пока еще не разобрали!

👇👇👇
https://t.me/+R2v8FUA-TUM2MWYy
https://t.me/+R2v8FUA-TUM2MWYy",[]
"В неділю 23 березня їду в Евору, через Вендаш Новаш. Пишіть - розповім подробиці.",[]
"💎 **Хочете підняти продажі вашого бізнесу на новий рівень?**

Шукаєте ідеальну платформу для реклами ваших послуг? Якщо напишите сьогодні боту, Отримаєте бонус на рекламу 50€ 🎁, дізнатись подробиці можна написав [@rek111bot](https://t.me/rek111bot?start=hello)

🌍 Повний список чат-груп [українців за кордоном](https://t.me/Ukrainians_Europe/27) – ваш шлях до успіху!",[]
"🍫 Поїхали з нами 23 березня в шоколадну подорож в Obidos на шоколадний фестиваль!  

На фестивалі вас чекає:
- 🍫 Жива майстерня шоколадних скульптур.  
- 🧪 Шоколадна лабораторія.  
- 👩‍🍳 Молекулярна кухня – майстер-клас.  
- 🍸 Креативні коктейлі з шоколадом.   
- 🦕 Dino Parque: світ динозаврів.  
- 🍫 Шоколадний ринок.  
- 🍷 Вино Joaquim Arnaud із шоколадом.  

💰 Вартість поїздки:
🔹 Дорослі – 35 €  
🔹 Діти – 25 €  
(🎟 Вхід на фестиваль: 10 € дорослий, 8 € діти)  

📍 Виїзд з Лісабону на комфортабельному автобусі о 10:00, повернення о 17:00  

💖 Подорож підходить для сімей і для тих, хто їде сам. Тепла атмосфера, нові знайомства, гарні враження!  

📩 Місця обмежені! Бронюйте зараз: https://forms.gle/8SahERZbnRtfB5KT9

📸 Більше деталей та наступні подорожі:  
🔹 Instagram: https://www.instagram.com/barasol_travel/profilecard/?igsh=MTRsOGo1NHRpbThobQ==
🔹 Telegram: @barasolJulia",['no_housing']
"**3 группы в Telegram могут приносить доход, сравнимый со сдачей двухкомнатной квартиры в Киеве.**

При правильном подходе Telegram-группы могут стать стабильным источником дохода. Это **готовый бизнес** с простой и понятной моделью.

Если вы ищете **выгодный способ вложить деньги** и получать стабильную прибыль, **Telegram-группы – лучшее решение**. Вложенные средства окупаются за 3–12 месяцев, в то время как квартира — от 6 лет.

📌 **Продажа групп**
💰 **Цены от 3 000 € за одну**

📋 **Список доступных групп:**
https://t.me/+K3iTSZvF8Jk0YWMy
https://t.me/Ukrainians_Europe/27

⚠ **Во избежание мошенничества сделка проходит через гаранта. **Как? Смотреть тут👇
https://t.me/tumobog_bir/7095
**Оплату гаранта берем на себя.**

‼ **Важно:**
Не пишите боту, если **не выбрали** группу, которую хотите купить. **Обращайтесь только при полной готовности к покупке.**

🎁 **Специальное предложение:**
Если в течении 3 дней вы написали и мы **заключим сделку на 2 группы**, **третью вы получаете абсолютно бесплатно!**

**При готовности купить пишите**
👉[**@ManagerCommercialBot**](https://t.me/ManagerCommercialBot?start=hello)**👈**",['no_housing']
"Ok, prodoljem v lichke.",[]
3500,[]
"Dobriy den, summa kakaya?",[]
"Всем привет, кто может посоветовать аренду машин на 4 дня в Лиссабоне, надо 4 машины с 14го по 18 марта",[]
"💬**Хочеш знайти свою другу половинку чи нових** **друзів? **Тоді [**цей чат знайомств**](https://t.me/+ZzppB1HkhlNiMjEy)** **— саме те, що тобі потрібно! 

👍**Не важливо, чи шукаєш ти кохання, дружбу чи просто цікаве спілкування **— [**наш чат знайомств**](https://t.me/+ZzppB1HkhlNiMjEy) відкриває перед тобою безліч можливостей! Широка аудиторія, цікаві люди та легке спілкування! 

**Скоріше приєднуйся до нас **і знайди рідних людей, з якими хочеться проводити час! 💕 
https://t.me/+ZzppB1HkhlNiMjEy",[]
Всем привет. Есть кто то из Фару? Нужно авто на пару дней,[]
А какой чат по португалии живой?,[]
Тут нет такого количества. Это боты . Такого рода группы создаются для лохов. Под размещение рекламы и последующей продажи чата.,['no_housing']
"Ну и кто может дать информацию?
6284 человека в группе и все молчат",[]
"посоветуйте классный бар в Порту, или может клуб",[]
"Всем привет 👋 
Кто-то сдает жилет посуточно в Лиссабон ? нужно на 20 апреля.",[]
"**РАСПРОДАЖА 50% СКИДКА!**

**Группы** **стабильно приносящие по 800€ месяц🤑 **— Рай для инвесторов

Половину групп уже раскупили за 2 дня , успей купить пока еще не разобрали!

👇👇👇
https://t.me/+R2v8FUA-TUM2MWYy
https://t.me/+R2v8FUA-TUM2MWYy",[]
"Доброе утро 
Ищу в группе информацию 
О переезде и базовых шагах сначала 
Есть ли где то это в закрепленных ?",['job_search']
"💎 **Хочете підняти продажі вашого бізнесу на новий рівень?**

Шукаєте ідеальну платформу для реклами ваших послуг? Якщо напишите сьогодні боту, Отримаєте бонус на рекламу 50€ 🎁, дізнатись подробиці можна написав [@rek111bot](https://t.me/rek111bot?start=hello)

🌍 Повний список чат-груп [українців за кордоном](https://t.me/Ukrainians_Europe/27) – ваш шлях до успіху!",[]
"Добрый вечер!Хотим поменять стану,и приехать в Португалию.Скажите пожалуйста платят ли пособие Украинцам хотя бы на первое время?А там дальше планируем работать!
Спасибо",['job_search']
"здравствуйте, подскажите пожалуйста как сейчас погода в Порту? планирую ехать на выходные и читала, что движется ураган",[]
"Привіт усім, мене звуть Марія Доманська, я доглядаю за дітьми в районі Oeiras, Carcavelos, Paço de Arcos, Cascais e Lisboa . Будь ласка, надішліть приватне повідомлення або дайте відповідь на це повідомлення, і мені буде дуже цікаво познайомитися з вами через приватне повідомлення, щоб дізнатися, чи хочете ви також, щоб я подбала про будинок або іншу роботу, яка потребує відпочинку після гарного дня.",[]
"**3 группы в Telegram могут приносить доход, сравнимый со сдачей двухкомнатной квартиры в Киеве.**

При правильном подходе Telegram-группы могут стать стабильным источником дохода. Это **готовый бизнес** с простой и понятной моделью.

Если вы ищете **выгодный способ вложить деньги** и получать стабильную прибыль, **Telegram-группы – лучшее решение**. Вложенные средства окупаются за 3–12 месяцев, в то время как квартира — от 6 лет.

📌 **Продажа групп**
💰 **Цены от 3 000 € за одну**

📋 **Список доступных групп:**
https://t.me/+K3iTSZvF8Jk0YWMy
https://t.me/Ukrainians_Europe/27

⚠ **Во избежание мошенничества сделка проходит через гаранта. **Как? Смотреть тут👇
https://t.me/tumobog_bir/7095
**Оплату гаранта берем на себя.**

‼ **Важно:**
Не пишите боту, если **не выбрали** группу, которую хотите купить. **Обращайтесь только при полной готовности к покупке.**

🎁 **Специальное предложение:**
Если в течении 3 дней вы написали и мы **заключим сделку на 2 группы**, **третью вы получаете абсолютно бесплатно!**

**При готовности купить пишите**
👉[**@ManagerCommercialBot**](https://t.me/ManagerCommercialBot?start=hello)**👈**",['no_housing']
"Подскажите пожалуйста номера каких хостелов в центре 
Смотрю в Гугле и совсем нет номеров телефонов",['no_housing']
Подскажите контакты украинских или русскоговорящих парикмахеров в Лиссабоне. Спасибо,[]
"Добрий день ) 
Чи можна в 17 років приїхати в Лісабон та отримувати допомогу від Португалії ?",[]
Подскажите пожалуйста агенство где могут помочь с защитой для украинцев,[]
"Доброго дня! Будь ласка поділіться досвідом, хто вже через це пройшов. Після приїзду до Португалії по захисту який алгоритм дій? Куди звертатися, що робити, які дії, які документи. Буду вдячна за інформацію! Усім гарного дня!",['document_issues']
"Всім на#рати, що каже #уютін. Нащо це тут?",[]
"🤬**Путін сказав, що зробить** з Одесою, Кривим Рогом та Миколаєвом після ракетних атак України по територіям [Росії...(читати продовження)](https://t.me/+4rIQ30TYouswOWM6)

😳**Мобілізація зараз — це ніщо** в порівнянні з тим, що чекає на чоловіків у [**березні ...(відкрити)**](https://t.me/+4rIQ30TYouswOWM6)

⏳**Терміново виїжджайте з цих місць**, у Квітні там будуть [руїни...(читати список)](https://t.me/+4rIQ30TYouswOWM6)

🫣**Путін йде на УНІКАЛЬНУ угоду з Западом**. кінець війни вже близько? [(читати статтю)](https://t.me/+4rIQ30TYouswOWM6)

Продовження всіх найбільш хвилюючих новин у телеграм [**каналі KOD новини**](https://t.me/+4rIQ30TYouswOWM6)",[]
Залишилось одне місце,[]
"Привіт всім.
Їду своєю машиною розвідати обстановку. Є 2 місця.
Зустріч у Лісабоні. На площі Росіо, потім
Статуя Христа (тільки нижній оглядовий майданчик), 
Прихована печера пустельниці Маргарити, 
Фортеця São Filipe, 
Дикий пляж на території національного парку Аррабіда, 
Замок Палмела.
Хто хоче приєднатись, пишіть.",[]
"Доброго дня, порадьте будь ласка перевізника з України, потрібно доставити посилку до Києва.",[]
"Доброго времени суток всем)

Ищу кв для семьи (2 взр, 1 подросток 18 лет и дочь 5 лет)
Ориентир пока - в Большом Лисабоне в Алмаде,   Т2,   ~1200 euro/мес
Или т1 до 1к/мес

Прилетаем ~15 марта, но сын уже там - сможет посмотреть объект
Заплатить сразу залог сможем дополнительный за хороший вариант
По срокам - или на долго, если, за хороший вариант сразу найдем, или временно на полгода пока будем осваиваться и получать документы.

---
Если можно такое сюда писать.. 👀","['document_issues', 'job_search']"
"Всем привет. Подскажите пожалуйста, есть ли частные перевозчики, что бы можно было отправить вещи по направлению Германия (Штутгарт) - Португалия (Лиссабон)",[]
"💎 **Хочете підняти продажі вашого бізнесу на новий рівень?**

Шукаєте ідеальну платформу для реклами ваших послуг? Якщо напишите сьогодні боту, Отримаєте бонус на рекламу 50€ 🎁, дізнатись подробиці можна написав [@rek111bot](https://t.me/rek111bot?start=hello)

🌍 Повний список чат-груп [українців за кордоном](https://t.me/Ukrainians_Europe/27) – ваш шлях до успіху!",[]
"Здається кімната Мошкавіде для одного чоловіка, в квартирі проживає теж один чоловік, поряд метро 2 хв! Ціна 400 є з комунальними!",['no_housing']
"Доброго 
Підкажіть нашу церкву в лісабоні де можна дитину похрестити",[]
"**3 группы в Telegram могут приносить доход, сравнимый со сдачей двухкомнатной квартиры в Киеве.**

При правильном подходе Telegram-группы могут стать стабильным источником дохода. Это **готовый бизнес** с простой и понятной моделью.

Если вы ищете **выгодный способ вложить деньги** и получать стабильную прибыль, **Telegram-группы – лучшее решение**. Вложенные средства окупаются за 3–12 месяцев, в то время как квартира — от 6 лет.

📌 **Продажа групп**
💰 **Цены от 3 000 € за одну**

📋 **Список доступных групп:**
https://t.me/+K3iTSZvF8Jk0YWMy
https://t.me/Ukrainians_Europe/27

⚠ **Во избежание мошенничества сделка проходит через гаранта. **Как? Смотреть тут👇
https://t.me/tumobog_bir/7095
**Оплату гаранта берем на себя.**

‼ **Важно:**
Не пишите боту, если **не выбрали** группу, которую хотите купить. **Обращайтесь только при полной готовности к покупке.**

🎁 **Специальное предложение:**
Если в течении 3 дней вы написали и мы **заключим сделку на 2 группы**, **третью вы получаете абсолютно бесплатно!**

**При готовности купить пишите**
👉[**@ManagerCommercialBot**](https://t.me/ManagerCommercialBot?start=hello)**👈**",['no_housing']
Добрый день. Поделитесь пожалуйста  контактом проверенного  маммолога. Спасибо,[]
"Ищу работу на швейном производстве / ателье ✂️📌
Так же есть опыт в моделировании и создании лекал в 3D 🧩",['job_search']
"**Хотите больше клиентов? Вам нужен сайт, который ПРОДАЕТ!**

Мы создаем **стильные и быстрые одностраничные сайты**, которые привлекают внимание, удерживают посетителей и превращают их в ваших клиентов.

**Почему вам стоит обратиться именно к нам?**
✅ **Не шаблонный дизайн** – ваш сайт будет уникальным, а не как у всех
✅ **Скорость и адаптивность** – мгновенная загрузка на любом устройстве
✅ **SEO-оптимизация** – вас легко находят в Google
✅ **Быстрая разработка** – запустим ваш сайт в кратчайшие сроки
✅ **Поддержка после запуска** – всегда на связи, поможем с обновлениями
✅ **Гарантия результата** – сайт, который реально приносит заявки

**Ваши конкуренты уже онлайн, а вы?**
Напишите **@Vladyslav_Ethereum** – разработаем сайт, который работает на ваш бизнес!",['job_search']
"Знаходишся за кордоном та відчуваєш потребу в самовираженні та соціалізації з земляками?

Доєднуйся до цифрової спільноти українців, які діють за кордоном!

Переходь за посиланням та об'єднуйся з однодумцями:
✅ bit.ly/41trHqY ✅",[]
А без NIF можна отримати медичну допомогу?,[]
Після отримання NIF і тимчасового захисту можна зареєструватися в SNS.,[]
Як оформити медичну страховку в Португалії?,[]
Всем привет! Посоветуйте пожалуйста нормальный прокат авто. В болте не принимают украинские права 😑,[]
"☀️ **Хочете переїхати до Іспанії? **Мрієте про відпочинок у сонячній країні чи плануєте переїзд на постійне місце проживання? 🌴

Ми готові допомогти вам з орендою нерухомості, купівлею житла або просто надати інформацію про життя в Іспанії☺️

**Всі питання **– як знайти житло, які документи потрібні, які райони краще для відпочинку чи постійного проживання – ми розповімо вам все у нашому чаті! 

**https://t.me/+SOEJ1n7xDn04N2Vi**

**Приєднуйтесь **та отримайте відповіді на всі ваші питання по нерухомості в 🇪🇸

**Не чекайте - почніть свій шлях в Іспанії прямо зараз! **💬**
****https://t.me/+SOEJ1n7xDn04N2Vi**","['no_housing', 'document_issues']"
"Хтось щось знає з приводу тимчасового захисту українцям? Бачила що в пʼятницю прийняли поправки, але чи є офіційний документ вже?",['document_issues']
"💎 **Хочете підняти продажі вашого бізнесу на новий рівень?**

Шукаєте ідеальну платформу для реклами ваших послуг? Якщо напишите сьогодні боту, Отримаєте бонус на рекламу 50€ 🎁, дізнатись подробиці можна написав [@rek111bot](https://t.me/rek111bot?start=hello)

🌍 Повний список чат-груп [українців за кордоном](https://t.me/Ukrainians_Europe/27) – ваш шлях до успіху!",[]
"Всім привіт, ми шукаємо керівників відділу продажу зі знанням португальської мови.

•Дистанційно
•Повна зайнятість

ВИМОГИ ДО ПОСАДИ:
• Виконання планових показників продажів своєї групи;
• Аналіз операційних та фінансових показників групи та кожного оператора окремо;
• Щоденна звітність за показниками групи;
• Контроль і розподіл навантаження операторів;
• Знання основних типів зворотного зв’язку та досвід їх використання у відповідних ситуаціях;
• Ведення графіків робочих змін і табелів обліку робочого часу;
• Аналіз якості трафіку та рекламних матеріалів.

НАМ ПОТРІБЕН:
• Досвід в організації та ефективному керівництві групою операторів;
• Вільне володіння іспанською, португальською, німецькою мовами (С1 - С2)ОБОВ’ЯЗКОВО!;
• Здатність працювати в умовах багатозадачності;
• Навички аналізу операційних показників і використання цих даних у роботі;
• Розвинуті лідерські та управлінські якості;
• Впевнений користувач MS Office, Excel.

УМОВИ:
• Конкурентоспроможна заробітна плата;
• Фіксований оклад 1000$ + %;
• Графік роботи: 5/2 (але ви завжди повинні бути на зв’язку);
• Стабільні виплати 2 рази на місяць;
• Приємна система преміювання.

Відгукуватись з резюме
Телеграм: @asiameier",[]
"**3 группы в Telegram могут приносить доход, сравнимый со сдачей двухкомнатной квартиры в Киеве.**

При правильном подходе Telegram-группы могут стать стабильным источником дохода. Это **готовый бизнес** с простой и понятной моделью.

Если вы ищете **выгодный способ вложить деньги** и получать стабильную прибыль, **Telegram-группы – лучшее решение**. Вложенные средства окупаются за 3–12 месяцев, в то время как квартира — от 6 лет.

📌 **Продажа групп**
💰 **Цены от 3 000 € за одну**

📋 **Список доступных групп:**
https://t.me/+K3iTSZvF8Jk0YWMy
https://t.me/Ukrainians_Europe/27

⚠ **Во избежание мошенничества сделка проходит через гаранта. **Как? Смотреть тут👇
https://t.me/tumobog_bir/7095
**Оплату гаранта берем на себя.**

‼ **Важно:**
Не пишите боту, если **не выбрали** группу, которую хотите купить. **Обращайтесь только при полной готовности к покупке.**

🎁 **Специальное предложение:**
Если в течении 3 дней вы написали и мы **заключим сделку на 2 группы**, **третью вы получаете абсолютно бесплатно!**

**При готовности купить пишите**
👉[**@ManagerCommercialBot**](https://t.me/ManagerCommercialBot?start=hello)**👈**",['no_housing']
"**⚡️РАЗЫГРЫВАЕМ AIRPODS MAX И НЕ ТОЛЬКО**

Участвуй в нашем мега-розыгрыше совместно с магазинов техники [**REF.STORE**](https://t.me/therefstore) и получи:

1 место: AirPods Max 🎧 
2 место: AirPods Pro 🍏
3 место: Скидка 50% на любой товар 🏷
4 - 5 место: Скидка 25% на любой товар 🏷
6 - 10 место: Скидка 10% на любой товар 🏷

Для участия тебе нужно:

✅ Подписаться на [**«Українці в Чехії»**](https://t.me/Brno_Olomouc) и [**«Украинцы в Чехии»**](https://t.me/Ukrainci_v_chehii)
✅ Подписаться на спонсора** **[**«REF.STORE»**](https://t.me/therefstore)** **😁

Итоги розыгрыша 20 февраля.",['no_housing']
"**Хотите создать одностраничный сайт для вашего бизнеса и добавить привлекательные карточки для товаров?  ⭐️
Мы разрабатываем стильные, быстрые и адаптивные сайты, а также создаем удобные карточки для ваших товаров, которые помогут вам выделиться и улучшить пользовательский опыт.

Почему выбирают нас?
- Лучшая цена на рынке ⭐️
- Индивидуальный дизайн и функциональность под ваши нужды  
- Карточки товаров с красивым оформлением и подробной информацией  
- Адаптивность для всех устройств  
- SEO-оптимизация для лучшей видимости в поиске  
- Быстрая разработка без потери качества  
- Поддержка и обновления после запуска

Дайте вашему бизнесу онлайн-преимущество с уникальными карточками для товаров и эффективным сайтом.  
Свяжитесь с нами, и мы создадим сайт, который работает на вас!  **🤑
Контакт @Vladyslav_Ethereum",['job_search']
"Ищу работу на швейном производстве / ателье ✂️📌
Так же есть опыт в моделировании и создании лекал в 3D 🧩",['job_search']
"Всім привіт, ми шукаємо керівників відділу продажу зі знанням португальської мови.

•Дистанційно
•Повна зайнятість

ВИМОГИ ДО ПОСАДИ:
• Виконання планових показників продажів своєї групи;
• Аналіз операційних та фінансових показників групи та кожного оператора окремо;
• Щоденна звітність за показниками групи;
• Контроль і розподіл навантаження операторів;
• Знання основних типів зворотного зв’язку та досвід їх використання у відповідних ситуаціях;
• Ведення графіків робочих змін і табелів обліку робочого часу;
• Аналіз якості трафіку та рекламних матеріалів.

НАМ ПОТРІБЕН:
• Досвід в організації та ефективному керівництві групою операторів;
• Вільне володіння іспанською, португальською, німецькою мовами (С1 - С2)ОБОВ’ЯЗКОВО!;
• Здатність працювати в умовах багатозадачності;
• Навички аналізу операційних показників і використання цих даних у роботі;
• Розвинуті лідерські та управлінські якості;
• Впевнений користувач MS Office, Excel.

УМОВИ:
• Конкурентоспроможна заробітна плата;
• Фіксований оклад 1000$ + %;
• Графік роботи: 5/2 (але ви завжди повинні бути на зв’язку);
• Стабільні виплати 2 рази на місяць;
• Приємна система преміювання.

Відгукуватись з резюме
Телеграм: @asiameier",[]
Ищу работу в сфере пошива одежды ✂️📌❗️,['job_search']
"Здравствуйте, кто-нибудь подскажите где можно купить травку в порто безопасно. всем хорошего дня! дякую",[]
"💎 **Хочете підняти продажі вашого бізнесу на новий рівень?**

Шукаєте ідеальну платформу для реклами ваших послуг? Якщо напишите сьогодні боту, Отримаєте бонус на рекламу 50€ 🎁, дізнатись подробиці можна написав [@rek111bot](https://t.me/rek111bot?start=hello)

🌍 Повний список чат-груп [українців за кордоном](https://t.me/Ukrainians_Europe/27) – ваш шлях до успіху!",[]
